Pays,Lat,Long,Date,Deces
,,,,
Allemagne,50.74599, 9.766473,2020-04-28,6161
,,,,
Allemagne,50.74599, 9.766473,2020-04-27,6126
,,,,
Allemagne,50.74599, 9.766473,2020-04-26,5976
,,,,
Allemagne,50.74599, 9.766473,2020-04-25,5877
,,,,
Allemagne,50.74599, 9.766473,2020-04-24,5760
,,,,
Allemagne,50.74599, 9.766473,2020-04-23,5575
,,,,
Allemagne,50.74599, 9.766473,2020-04-22,5279
,,,,
Allemagne,50.74599, 9.766473,2020-04-21,5033
,,,,
Allemagne,50.74599, 9.766473,2020-04-20,4862
,,,,
Allemagne,50.74599, 9.766473,2020-04-19,4586
,,,,
Allemagne,50.74599, 9.766473,2020-04-18,4459
,,,,
Allemagne,50.74599, 9.766473,2020-04-17,4352
,,,,
Allemagne,50.74599, 9.766473,2020-04-16,4052
,,,,
Allemagne,50.74599, 9.766473,2020-04-15,3804
,,,,
Allemagne,50.74599, 9.766473,2020-04-14,3294
,,,,
Allemagne,50.74599, 9.766473,2020-04-13,3194
,,,,
Allemagne,50.74599, 9.766473,2020-04-12,3022
,,,,
Allemagne,50.74599, 9.766473,2020-04-11,2736
,,,,
Allemagne,50.74599, 9.766473,2020-04-10,2767
,,,,
Allemagne,50.74599, 9.766473,2020-04-09,2607
,,,,
Allemagne,50.74599, 9.766473,2020-04-08,2349
,,,,
Allemagne,50.74599, 9.766473,2020-04-07,2016
,,,,
Allemagne,50.74599, 9.766473,2020-04-06,1810
,,,,
Allemagne,50.74599, 9.766473,2020-04-05,1584
,,,,
Allemagne,50.74599, 9.766473,2020-04-04,1444
,,,,
Allemagne,50.74599, 9.766473,2020-04-03,1275
,,,,
Allemagne,50.74599, 9.766473,2020-04-02,1107
,,,,
Allemagne,50.74599, 9.766473,2020-04-01,920
,,,,
Allemagne,50.74599, 9.766473,2020-03-31,775
,,,,
Allemagne,50.74599, 9.766473,2020-03-30,645
,,,,
Allemagne,50.74599, 9.766473,2020-03-29,533
,,,,
Allemagne,50.74599, 9.766473,2020-03-28,433
,,,,
Allemagne,50.74599, 9.766473,2020-03-27,342
,,,,
Allemagne,50.74599, 9.766473,2020-03-26,267
,,,,
Allemagne,50.74599, 9.766473,2020-03-25,206
,,,,
Allemagne,50.74599, 9.766473,2020-03-24,157
,,,,
Allemagne,50.74599, 9.766473,2020-03-23,123
,,,,
Allemagne,50.74599, 9.766473,2020-03-22,94
,,,,
Allemagne,50.74599, 9.766473,2020-03-21,84
,,,,
Allemagne,50.74599, 9.766473,2020-03-20,67
,,,,
Allemagne,50.74599, 9.766473,2020-03-19,44
,,,,
Allemagne,50.74599, 9.766473,2020-03-18,28
,,,,
Allemagne,50.74599, 9.766473,2020-03-17,24
,,,,
Allemagne,50.74599, 9.766473,2020-03-16,17
,,,,
Allemagne,50.74599, 9.766473,2020-03-15,11
,,,,
Allemagne,50.74599, 9.766473,2020-03-14,9
,,,,
Allemagne,50.74599, 9.766473,2020-03-13,7
,,,,
Allemagne,50.74599, 9.766473,2020-03-12,6
,,,,
Allemagne,50.74599, 9.766473,2020-03-11,3
,,,,
Allemagne,50.74599, 9.766473,2020-03-10,2
,,,,
Allemagne,50.74599, 9.766473,2020-03-09,2
,,,,
Allemagne,50.74599, 9.766473,2020-03-08,0
,,,,
Allemagne,50.74599, 9.766473,2020-03-07,0
,,,,
Allemagne,50.74599, 9.766473,2020-03-06,0
,,,,
Allemagne,50.74599, 9.766473,2020-03-05,0
,,,,
Allemagne,50.74599, 9.766473,2020-03-04,0
,,,,
Allemagne,50.74599, 9.766473,2020-03-03,0
,,,,
Allemagne,50.74599, 9.766473,2020-03-02,0
,,,,
Allemagne,50.74599, 9.766473,2020-03-01,0
,,,,
Allemagne,50.74599, 9.766473,2020-02-29,0
,,,,
Allemagne,50.74599, 9.766473,2020-02-28,0
,,,,
Allemagne,50.74599, 9.766473,2020-02-27,0
,,,,
Allemagne,50.74599, 9.766473,2020-02-26,0
,,,,
Allemagne,50.74599, 9.766473,2020-02-25,0
,,,,
Allemagne,50.74599, 9.766473,2020-02-24,0
